1_f1-score,1_precision,1_recall,1_support,2_f1-score,2_precision,2_recall,2_support,3_f1-score,3_precision,3_recall,3_support,4_f1-score,4_precision,4_recall,4_support,5_f1-score,5_precision,5_recall,5_support,accuracy,auc_1,auc_2,auc_3,auc_4,auc_5,auc_macro,auc_micro,confusion_matrix,description,embedding,file,fpr,loss,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,max_sequence_length,model_file,model_name,network_history_file,status,status_date,test_examples,test_features,tokenizer_file,tpr,train_examples,train_features,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
       1.        ]), 4: array([0.00000000e+00, 6.71636779e-05, 2.01491034e-04, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99932836e-01, 1.00000000e+00, 1.00000000e+00]),' ''micro'': array([0.00000000e+00', 3.57002606e-05,0.000107100782, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99964300e-01, 1.00000000e+00, 1.00000000e+00]),' ''macro'': array([3.77989919e-04', 3.77989919e-04,0.000457010069, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99986567e-01, 1.00000000e+00, 1.00000000e+00])}",84032.0,186.0,0.632028077793104,0.6186108150634370,0.6589197101138840,28011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6968380400675840,0.6685965724872630,0.727570564516129,3968.0,0.19703754736479500,0.27713178294573604,0.1528594334580440,1871.0,0.3241923365890310,0.3089867525957750,0.3409719478467010,2531.0,0.3500466417910450,0.392520920502092,0.31586700336700296,4752.0,0.8146639511201630,0.7853403141361260,0.8462623413258108,14889.0,0.6474956267244590,0.9478767952965319,0.851681066509855,0.8085771209374251,0.728378776080741,0.871870522965305,0.8416992748190201,0.898781103906225,"[[ 2887   355   413    73   240],,,,,,,,,,,,,,,,,,,,,,,,,
 [  725   286   494   153   213],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  392   245   863   479   552],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  124    72   616  1501  2439],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  190    74   407  1618 12600]]",amazon_reviews_us_Wireless_v1_00-preprocessed-110k-nosmote-CNN_1layerEmbedding300-186-star_rating,300.0,drive/My Drive/Springboard/capstone/data/amazon_reviews_us_Wireless_v1_00-preprocessed-110k.csv,"{0: array([0.        ,0.0, 0.        , ..., 0.89647715, 0.89656033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]), 1: array([0.00000000e+00, 3.82555471e-05, 3.82555471e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.81446060e-01, 9.81446060e-01, 1.00000000e+00]), 2: array([0.00000000e+00, 3.92464678e-05,7.849293559999999e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.96467818e-01, 9.96467818e-01, 1.00000000e+00]), 3: array([0.        , 0.        ,0.0, ..., 0.97523539, 0.97523539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]), 4: array([0.       , 0.       , 0.       , ...,0.9951989, 0.9951989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.       ]),' ''micro'': array([0.        ', 0.        , 0.        , ...,0.98479169, 0.98479169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]),' ''macro'': array([0.00000000e+00', 3.82555471e-05, 3.92464678e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.95198903e-01, 9.96467818e-01, 1.00000000e+00])}",0.9648947548463670,0.4765557033865240,0.48651526853339794,0.4767062581027380,28011.0,186.0,2019-07-24-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-nosmote-CNN_1layerEmbedding300-186-star_rating.h5,CNN_1layerEmbedding300,2019-07-24-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-nosmote-CNN_1layerEmbedding300-186-star_rating-history.pkl,success,2019-07-24 05:30:05,28011.0,186.0,2019-07-24-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-nosmote-CNN_1layerEmbedding300-186-star_rating-tokenizer.pkl,"{0: array([0.00000000e+00,0.000252016129,0.00856854839, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.00000000e+00, 1.00000000e+00, 1.00000000e+00]), 1: array([0.00000000e+00, 0.00000000e+00,0.0005344735439999999, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99465526e-01, 1.00000000e+00, 1.00000000e+00]), 2: array([0.       , 0.       ,0.0, ..., 0.9996049, 1.       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.       ]), 3: array([0.00000000e+00, 2.10437710e-04, 6.31313131e-04, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99789562e-01, 1.00000000e+00, 1.00000000e+00]), 4: array([0.00000000e+00, 6.71636779e-05,0.00127610988, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99932836e-01, 1.00000000e+00, 1.00000000e+00]),' ''micro'': array([0.00000000e+00', 3.57002606e-05,0.000856806255, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99964300e-01, 1.00000000e+00, 1.00000000e+00]),' ''macro'': array([0.00209519', 0.00220209,0.00220209, ..., 0.99992098, 1.        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ])}",84032.0,186.0,0.6335794726369530,0.6251737384505930,0.6474956267180749,28011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7132250580046400,0.6607910576096300,0.7746975806451610,3968.0,0.16929588303193500,0.302197802197802,0.11758417958311100,1871.0,0.308935984269172,0.3455522971652000,0.2793362307388380,2531.0,0.3038287361053930,0.4366863905325440,0.23295454545454503,4752.0,0.8311120556179610,0.7583379501385040,0.919336422862516,14889.0,0.6710220984677020,0.94890902057369,0.853113175488479,0.8138730991591241,0.740059127577131,0.877310491684085,0.8466763993734151,0.906195249778713,"[[ 3074   203   268    52   371],,,,,,,,,,,,,,,,,,,,,,,,,
 [  845   220   390   120   296],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  455   193   707   473   703],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  126    68   459  1107  2992],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  152    44   222   783 13688]]",amazon_reviews_us_Wireless_v1_00-preprocessed-110k-nosmote-CNN_2layer-186-star_rating,300.0,drive/My Drive/Springboard/capstone/data/amazon_reviews_us_Wireless_v1_00-preprocessed-110k.csv,"{0: array([0.        ,0.0, 0.        , ..., 0.93070748, 0.93070748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]), 1: array([0.00000000e+00, 3.82555471e-05, 7.65110941e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.86189748e-01, 9.86189748e-01, 1.00000000e+00]), 2: array([0.00000000e+00, 3.92464678e-05,7.849293559999999e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.97684458e-01, 9.97684458e-01, 1.00000000e+00]), 3: array([0.        , 0.        ,0.0, ..., 0.97983576, 0.97983576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]), 4: array([0.        , 0.        , 0.        , ...,0.99336991, 1.        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]),' ''micro'': array([0.        ', 0.        , 0.        , ...,0.99941095, 0.99941095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]),' ''macro'': array([0.00000000e+00', 3.82555471e-05, 3.92464678e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.93369913e-01, 9.97684458e-01, 1.00000000e+00])}",0.9226816190544130,0.4652795434058200,0.500713099528736,0.4647817918568340,28011.0,186.0,drive/My Drive/Springboard/capstone/models/2019-07-24-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-nosmote-CNN_2layer-186-star_rating.h5,CNN_2layer,drive/My Drive/Springboard/capstone/models/2019-07-24-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-nosmote-CNN_2layer-186-star_rating-history.pkl,success,2019-07-24 15:35:04,28011.0,186.0,drive/My Drive/Springboard/capstone/models/2019-07-24-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-nosmote-CNN_2layer-186-star_rating-tokenizer.pkl,"{0: array([0.00000000e+00,0.000252016129,0.00252016129, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99747984e-01, 1.00000000e+00, 1.00000000e+00]), 1: array([0.        , 0.        ,0.0, ..., 0.99946553, 1.        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]), 2: array([0.       , 0.       , 0.       , ...,0.9996049, 1.       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.       ]), 3: array([0.00000000e+00, 2.10437710e-04, 6.31313131e-04, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99789562e-01, 1.00000000e+00, 1.00000000e+00]), 4: array([0.00000000e+00, 6.71636779e-05,0.000201491034, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99932836e-01, 9.99932836e-01, 1.00000000e+00]),' ''micro'': array([0.00000000e+00', 3.57002606e-05,0.00024990182400000003, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99964300e-01, 1.00000000e+00, 1.00000000e+00]),' ''macro'': array([6.70593091e-04', 6.70593091e-04,0.000670593091, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99907547e-01, 9.99986567e-01, 1.00000000e+00])}",84032.0,186.0,0.6335713881535501,0.6221859746547810,0.6710220984613190,28011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6973180076628350,0.6842105263157900,0.7109375,3968.0,0.2506981073533980,0.298816568047337,0.2159273115980760,1871.0,0.32424960505529200,0.3241215949467040,0.324377716317661,2531.0,0.35969209237228800,0.40345368916797500,0.32449494949495,4752.0,0.8235597038944320,0.7906804276620730,0.859292094835113,14889.0,0.6710220984677020,0.942648003057023,0.849668203158833,0.808196642636023,0.7378833514791641,0.875173062146446,0.8427379958338059,0.8980586885303108,"[[ 2821   477   357    83   230],,,,,,,,,,,,,,,,,,,,,,,,,
 [  672   404   448   167   180],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  346   295   821   573   496],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  104   102   523  1542  2481],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  180    74   384  1457 12794]]",amazon_reviews_us_Wireless_v1_00-preprocessed-110k-nosmote-CNN_3layer-186-star_rating,300.0,drive/My Drive/Springboard/capstone/data/amazon_reviews_us_Wireless_v1_00-preprocessed-110k.csv,"{0: array([0.        ,0.0, 0.        , ..., 0.97849686, 0.97849686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]), 1: array([0.00000000e+00, 0.00000000e+00, 7.65110941e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99120122e-01, 9.99120122e-01, 1.00000000e+00]), 2: array([0.00000000e+00, 0.00000000e+00,3.92464678e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.96938776e-01, 9.96938776e-01, 1.00000000e+00]), 3: array([0.        , 0.        ,0.0, ..., 0.96156327, 0.96156327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]), 4: array([0.      , 0.      , 0.      , ...,0.992303, 0.992303, 1.      ]),' ''micro'': array([0.        ', 0.        , 0.        , ..., 0.99847381, 0.99847381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]),' ''macro'': array([0.00000000e+00', 3.92464678e-05, 4.15921474e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.96938776e-01, 9.99120122e-01, 1.00000000e+00])}",0.9226816190544130,0.49110350326764900,0.500256561227976,0.48700591444916000,28011.0,186.0,drive/My Drive/Springboard/capstone/models/2019-07-24-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-nosmote-CNN_3layer-186-star_rating.h5,CNN_3layer,drive/My Drive/Springboard/capstone/models/2019-07-24-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-nosmote-CNN_3layer-186-star_rating-history.pkl,success,2019-07-24 16:07:18,28011.0,186.0,drive/My Drive/Springboard/capstone/models/2019-07-24-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-nosmote-CNN_3layer-186-star_rating-tokenizer.pkl,"{0: array([0.00000000e+00,0.000252016129,0.00378024194, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99747984e-01, 1.00000000e+00, 1.00000000e+00]), 1: array([0.00000000e+00, 5.34473544e-04,0.0005344735439999999, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99465526e-01, 1.00000000e+00, 1.00000000e+00]), 2: array([0.00000000e+00, 3.95100751e-04,0.000395100751, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99604899e-01, 1.00000000e+00, 1.00000000e+00]), 3: array([0.00000000e+00, 2.10437710e-04,0.000420875421, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99579125e-01, 1.00000000e+00, 1.00000000e+00]), 4: array([0.00000000e+00, 6.71636779e-05,0.000201491034, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99932836e-01, 1.00000000e+00, 1.00000000e+00]),' ''micro'': array([0.00000000e+00', 3.57002606e-05,0.000107100782, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99964300e-01, 1.00000000e+00, 1.00000000e+00]),' ''macro'': array([0.0011739 ', 0.00141096,0.00221741, ..., 0.99989311, 1.        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ])}",84032.0,186.0,0.643601692831266,0.6348947821368230,0.6562421905679909,28011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7106135039415060,0.6499477533960290,0.7837701612903230,3968.0,0.15056266977105200,0.274787535410765,0.1036878674505610,1871.0,0.28815516047102300,0.3466666666666670,0.24654286843145,2531.0,0.3460052349495200,0.4243350657291350,0.292087542087542,4752.0,0.8299214546354140,0.7690412057997590,0.901269393511989,14889.0,0.6688443825703760,0.9488842937904941,0.855738720543127,0.818787343068401,0.740203685319017,0.8789421104477769,0.848531791699688,0.9062525896023492,"[[ 3110   206   255    95   302],,,,,,,,,,,,,,,,,,,,,,,,,
 [  836   194   376   191   274],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  456   197   624   574   680],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  158    67   365  1388  2774],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  225    42   180  1023 13419]]",amazon_reviews_us_Wireless_v1_00-preprocessed-110k-GRU_1layer-186-star_rating,300.0,drive/My Drive/Springboard/capstone/data/amazon_reviews_us_Wireless_v1_00-preprocessed-110k.csv,"{0: array([0.        ,0.0, 0.        , ..., 0.98124194, 0.98132513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]), 1: array([0.00000000e+00, 0.00000000e+00, 3.82555471e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.90818669e-01, 9.90895180e-01, 1.00000000e+00]), 2: array([0.00000000e+00, 0.00000000e+00,3.92464678e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.72723705e-01, 9.72723705e-01, 1.00000000e+00]), 3: array([0.        , 0.        ,0.0, ..., 0.98056666, 0.98056666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]), 4: array([0.        , 0.        , 0.        , ...,0.99878067, 0.99878067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]),' ''micro'': array([0.        ', 0.        , 0.        , ...,0.9930563, 0.99307415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]),' ''macro'': array([0.00000000e+00', 3.82555471e-05, 3.92464678e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.97104100e-01, 9.98780674e-01, 1.00000000e+00])}",0.91921485109589,0.46505160475370300,0.49295564540047104,0.465471566554373,28011.0,186.0,drive/My Drive/Springboard/capstone/models/2019-07-25-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-GRU_1layer-186-star_rating.h5,GRU_1layer,drive/My Drive/Springboard/capstone/models/2019-07-25-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-GRU_1layer-186-star_rating-history.pkl,success,2019-07-25 04:08:14,28011.0,186.0,drive/My Drive/Springboard/capstone/models/2019-07-25-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-GRU_1layer-186-star_rating-tokenizer.pkl,"{0: array([0.00000000e+00,0.000252016129,0.0108366935, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.00000000e+00, 1.00000000e+00, 1.00000000e+00]), 1: array([0.00000000e+00, 5.34473544e-04,0.0005344735439999999, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.00000000e+00, 1.00000000e+00, 1.00000000e+00]), 2: array([0.00000000e+00, 3.95100751e-04,0.000395100751, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99604899e-01, 1.00000000e+00, 1.00000000e+00]), 3: array([0.00000000e+00, 2.10437710e-04,0.00378787879, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99789562e-01, 1.00000000e+00, 1.00000000e+00]), 4: array([0.00000000e+00, 6.71636779e-05,0.0008059641349999999, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99932836e-01, 1.00000000e+00, 1.00000000e+00]),' ''micro'': array([0.00000000e+00', 3.57002606e-05,0.00157081147, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.00000000e+00, 1.00000000e+00, 1.00000000e+00]),' ''macro'': array([0.00333919', 0.00355298,0.003632, ..., 0.99998657, 1.        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ])}",84032.0,186.0,0.6365947400835560,0.6225135926264600,0.6688443825639929,28011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
