infile,outfile,classfile
dataset/feature_files/review_body-bow-df_default-ngram12-22414-312914.csv,dataset/feature_files/review_body-bow-df_default-ngram12-22414-312914.csv,dataset/amazon_reviews/amazon_reviews_us_Wireless_v1_00-preprocessed-tiny.csv
dataset/feature_files/review_headline-bow-df_80-ngram1-22414-3.csv,dataset/feature_files/review_headline-bow-df_80-ngram1-22414-3.csv,dataset/amazon_reviews/amazon_reviews_us_Wireless_v1_00-preprocessed-tiny.csv
dataset/feature_files/review_headline-bow-df_80-ngram12-22414-4.csv,dataset/feature_files/review_headline-bow-df_80-ngram12-22414-4.csv,dataset/amazon_reviews/amazon_reviews_us_Wireless_v1_00-preprocessed-tiny.csv
dataset/feature_files/review_headline-bow-df_80-ngram13-22414-4.csv,dataset/feature_files/review_headline-bow-df_80-ngram13-22414-4.csv,dataset/amazon_reviews/amazon_reviews_us_Wireless_v1_00-preprocessed-tiny.csv
dataset/feature_files/review_headline-bow-df_90-ngram1-22414-6.csv,dataset/feature_files/review_headline-bow-df_90-ngram1-22414-6.csv,dataset/amazon_reviews/amazon_reviews_us_Wireless_v1_00-preprocessed-tiny.csv
dataset/feature_files/review_headline-bow-df_90-ngram12-22414-7.csv,dataset/feature_files/review_headline-bow-df_90-ngram12-22414-7.csv,dataset/amazon_reviews/amazon_reviews_us_Wireless_v1_00-preprocessed-tiny.csv
dataset/feature_files/review_headline-bow-df_90-ngram13-22414-7.csv,dataset/feature_files/review_headline-bow-df_90-ngram13-22414-7.csv,dataset/amazon_reviews/amazon_reviews_us_Wireless_v1_00-preprocessed-tiny.csv
dataset/feature_files/review_headline-tfidf-df_80-ngram11-22414-3.csv,dataset/feature_files/review_headline-tfidf-df_80-ngram11-22414-3.csv,dataset/amazon_reviews/amazon_reviews_us_Wireless_v1_00-preprocessed-tiny.csv
dataset/feature_files/review_headline-tfidf-df_80-ngram12-22414-4.csv,dataset/feature_files/review_headline-tfidf-df_80-ngram12-22414-4.csv,dataset/amazon_reviews/amazon_reviews_us_Wireless_v1_00-preprocessed-tiny.csv
dataset/feature_files/review_headline-tfidf-df_80-ngram13-22414-4.csv,dataset/feature_files/review_headline-tfidf-df_80-ngram13-22414-4.csv,dataset/amazon_reviews/amazon_reviews_us_Wireless_v1_00-preprocessed-tiny.csv
dataset/feature_files/review_headline-tfidf-df_90-ngram11-22414-6.csv,dataset/feature_files/review_headline-tfidf-df_90-ngram11-22414-6.csv,dataset/amazon_reviews/amazon_reviews_us_Wireless_v1_00-preprocessed-tiny.csv
dataset/feature_files/review_headline-tfidf-df_90-ngram12-22414-7.csv,dataset/feature_files/review_headline-tfidf-df_90-ngram12-22414-7.csv,dataset/amazon_reviews/amazon_reviews_us_Wireless_v1_00-preprocessed-tiny.csv
dataset/feature_files/review_headline-tfidf-df_90-ngram13-22414-7.csv,dataset/feature_files/review_headline-tfidf-df_90-ngram13-22414-7.csv,dataset/amazon_reviews/amazon_reviews_us_Wireless_v1_00-preprocessed-tiny.csv
dataset/feature_files/review_headline-tfidf-df_default-ngram1-22414-5646.csv,dataset/feature_files/review_headline-tfidf-df_default-ngram1-22414-5646.csv,dataset/amazon_reviews/amazon_reviews_us_Wireless_v1_00-preprocessed-tiny.csv
dataset/feature_files/review_headline-tfidf-df_default-ngram12-22414-28058.csv,dataset/feature_files/review_headline-tfidf-df_default-ngram12-22414-28058.csv,dataset/amazon_reviews/amazon_reviews_us_Wireless_v1_00-preprocessed-tiny.csv
dataset/feature_files/review_headline-tfidf-df_default-ngram13-22414-49228.csv,dataset/feature_files/review_headline-tfidf-df_default-ngram13-22414-49228.csv,dataset/amazon_reviews/amazon_reviews_us_Wireless_v1_00-preprocessed-tiny.csv
dataset/feature_files/review_body-bow-df_default-ngram13-22414-784774.csv,dataset/feature_files/review_body-bow-df_default-ngram13-22414-784774.csv,dataset/amazon_reviews/amazon_reviews_us_Wireless_v1_00-preprocessed-tiny.csv
dataset/feature_files/review_body-tfidf-df_default-ngram12-22414-312914.csv,dataset/feature_files/review_body-tfidf-df_default-ngram12-22414-312914.csv,dataset/amazon_reviews/amazon_reviews_us_Wireless_v1_00-preprocessed-tiny.csv
